startup_id,name,founded_year,industry,description,country,source,article_url,published_at
afb8b87b0869c26ce3978c36f9c039a016fa876b,Amazon Pharmacy to expand,,,The expansion will cover customers in newly served states such as Idaho and Massachusetts.,,TechCrunch,https://techcrunch.com/2026/02/11/amazon-pharmacy-to-expand-same-day-delivery-to-nearly-4500-us-cities/,2026-02-11T15:46:26+00:00
14cc082b1ac23b5da9da2976a983820e07fdd603,Build a pipeline and,,,"Exhibit your startup in front of 10,000 tech leaders and investors at TechCrunch Disrupt 2026, October 13-15 in San Francisco. Book now before they're gone.",,TechCrunch,https://techcrunch.com/2026/02/11/build-a-pipeline-and-close-deals-with-an-exhibit-table-at-techcrunch-disrupt-2026/,2026-02-11T15:00:00+00:00
7aabf8fe07ea9d7484c6aeb0267f121b19e52c0b,TikTok,,,"TikTok's new Local Feed will show you nearby shopping, dining, events, news, and more.",,TechCrunch,https://techcrunch.com/2026/02/11/tiktok-launches-an-opt-in-local-feed-in-the-u-s-leveraging-users-precise-location/,2026-02-11T14:40:55+00:00
07b2a93660f126c5aa47bb529ae2961f3531fd9b,Integrate,,,The round was led by FPV Ventures co-founder and managing partner Wesley Chan.,,TechCrunch,https://techcrunch.com/2026/02/11/integrate-raises-17m-to-move-defense-project-management-into-the-21st-century/,2026-02-11T14:21:28+00:00
a7409f17206357718634d4865fd9ebbfdd2b2d59,Complyance,,,Complyance raised a $20 million Series A led by GV for its AI-native compliance platform.,,TechCrunch,https://techcrunch.com/2026/02/11/complyance-raises-20m-to-help-companies-manage-risk-and-compliance/,2026-02-11T14:00:00+00:00
0d1fdd63dc2221854bf48af48027f6780a7fa76a,Meridian,,,A new company called Meridian.AI has emerged from stealth with an IDE-based approach to agentic financial modeling.,,TechCrunch,https://techcrunch.com/2026/02/11/meridian-ai-raises-17-million-to-remake-the-agentic-spreadsheet/,2026-02-11T14:00:00+00:00
e82386e64564c692f3536dbb2afd98c098f2c6f9,Samsung to hold its,,,Samsung is going to launch the S26 lineup just before Mobile World Congress (MWC).,,TechCrunch,https://techcrunch.com/2026/02/10/samsung-to-hold-its-galaxy-s26-event-on-february-25/,2026-02-11T07:06:44+00:00
de586e2282f92ae9ed4d0874e10016005e60bf0f,With co-founders leaving and,,,"According to The New York Times, which reports that it heard the meeting, Musk told employees that xAI needs a lunar manufacturing facility, a factory on the moon that will build AI satellites and fling them into space via a giant catapult.",,TechCrunch,https://techcrunch.com/2026/02/10/with-co-founders-leaving-and-an-ipo-looming-elon-musk-turns-talk-to-the-moon/,2026-02-11T05:23:26+00:00
510b386778bb7e0ea5810f7ed9cfa93c53e4328c,OpenAI policy exec who,,,The executive has denied the allegation that she engaged in discrimination.,,TechCrunch,https://techcrunch.com/2026/02/10/openai-policy-exec-who-opposed-chatbots-adult-mode-reportedly-fired-on-discrimination-claim/,2026-02-11T02:15:27+00:00
ea07885fffecd555e157d78a678ce7be80d38fd3,"Okay, now exactly half",,,"Whatever the cause of the departures, the cumulative impact is alarming. There is a lot of work left to do at xAI, and an IPO will bring more scrutiny than the lab has ever faced before.",,TechCrunch,https://techcrunch.com/2026/02/10/okay-now-exactly-half-of-xais-founding-team-has-left-the-company/,2026-02-11T01:50:00+00:00
